	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC_Os01g01610.MSUR7	17.3115232175376	3.50691261038207	0.859360394592836	4.08084039298047	4.48731615266983e-05	0.00173298198809086
LOC_Os01g01650.MSUR7	129.191500310288	-1.20451018303185	0.37352047048041	-3.22475012275137	0.0012608266425698	0.0314918598316379
LOC_Os01g03820.MSUR7	79.2795456565054	-1.87695969648556	0.440994496668152	-4.25619755046051	2.07932996373917e-05	0.000882132461034658
LOC_Os01g04200.MSUR7	80.7829544670169	1.73808372415538	0.43796778283416	3.96851958586534	7.23205142380501e-05	0.00265586343243196
LOC_Os01g04340.MSUR7	205.385648637274	9.32724418170824	1.06954159024942	8.72078679944845	2.76275213331703e-18	5.53017370685938e-16
LOC_Os01g04360.MSUR7	898.642963790198	8.33434764829973	2.35264589622373	3.54254231870479	0.000396289832287735	0.0119831299924964
LOC_Os01g04370.MSUR7	1823.80115110643	8.34834242459961	1.2045285320286	6.93079674131071	4.18476963609962e-12	5.45632532736219e-10
LOC_Os01g04380.MSUR7	661.676648853851	10.0689798841201	1.13947479004214	8.8365095674892	9.87555299455814e-19	2.09479640535314e-16
LOC_Os01g05080.MSUR7	219.487147836516	1.32526996283572	0.391621710683875	3.38405641638572	0.000714233256759761	0.0197484105935209
LOC_Os01g05650.MSUR7	474.260280319015	1.23186858162066	0.282501385189498	4.36057536777859	1.29720890503669e-05	0.00057792893286462
LOC_Os01g06660.MSUR7	39.4953749975962	2.42580033672098	0.577512016117383	4.200432664639	2.6640539186151e-05	0.00109111049831003
LOC_Os01g07530.MSUR7	309.323603751437	2.14433149081511	0.281028476973454	7.63029965471315	2.34208675591338e-14	3.73997044663382e-12
LOC_Os01g08350.MSUR7	1730.53670636534	1.13664882710368	0.256802752348183	4.42615515881451	9.59275366277666e-06	0.000448461233734809
LOC_Os01g08440.MSUR7	84.3760066005325	-1.94153863285445	0.444699305322273	-4.36595832198888	1.26566613374229e-05	0.000568904676413374
LOC_Os01g08560.MSUR7	2983.15723223716	2.74251091292185	0.31540592267262	8.69517886564381	3.46283851265798e-18	6.83525846415212e-16
LOC_Os01g08780.MSUR7	39.083809357195	2.95256242862451	0.571598631935087	5.16544698266496	2.3986501295131e-07	1.63892382887693e-05
LOC_Os01g08860.MSUR7	1435.20241167494	6.83776794987963	0.69566562334743	9.82910139641139	8.43682009461814e-23	2.60661059097202e-20
LOC_Os01g08890.MSUR7	555.976797223735	1.05566542054561	0.29431655042787	3.5868367545451	0.000334713719665145	0.0102300029760883
LOC_Os01g09246.MSUR7	213.679296640578	0.983565968437611	0.315642537783735	3.11607546734245	0.00183275362339752	0.0423529991800417
LOC_Os01g09540.MSUR7	51.6970502297451	-2.27856659488572	0.572785490909796	-3.97804523865734	6.94841537251342e-05	0.00257835193927312
